column,equation,dwt_level,period_h,energy_pct,scale
stored_energy_kWh,"EQ2,EQ3,EQ4",cA_10,1024,35.1,seasonal
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_10,1024,1.29,seasonal
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_9,512,0.59,seasonal
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_8,256,0.66,weekly
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_7,128,2.33,weekly
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_6,64,1.26,weekly
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_5,32,4.41,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_4,16,40.13,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_3,8,9.44,daily
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_2,4,4.01,intra-hourly
stored_energy_kWh,"EQ2,EQ3,EQ4",cD_1,2,0.76,intra-hourly
